AppID,Name,Average playtime forever
404580,Relive,68357
554640,拯救大魔王2 Rescue the Great Demon 2,49555
831980,Out of the Park Baseball 20,34798
989450,时之回廊/Corridor of time,33343
629910,Clicker Heroes 2,31708
353130,Time of Dragons,27080
305940,Project AURA,26827
557400,Midas Gold Plus,19196
719890,Beasts of Bermuda,17147
252490,Rust,16623
